"Name","Gross Export","Share","Code","Sector"
"Horses","77796","0.00020453537211578558","0101","Agriculture"
"Fowl","3000","0.00000788737359693759","0105","Agriculture"
"Other live animals","254816","0.0006699429968257496","0106","Agriculture"
"Live Fish","179507","0.00047194625742182534","0301","Agriculture"
"Fish, excluding fillets","13925114","0.03661085883264866","0302","Agriculture"
"Frozen fish, excluding fillets","2796542","0.007352457177842347","0303","Agriculture"
"Fish fillets","326757","0.0008590848448048454","0304","Agriculture"
"Preserved fish","4764769","0.01252717106870224","0305","Agriculture"
"Crustaceans","43601928","0.11463489856092461","0306","Agriculture"
"Molluscs","276338","0.0007265270150101799","0307","Agriculture"
"Milk, concentrated","3316","0.00000871817694914835","0402","Agriculture"
"Fermented milk products","116761","0.0003069792095173433","0403","Agriculture"
"Butter","18932","0.00004977458564574082","0405","Agriculture"
"Cheese","737880","0.0019399784099027695","0406","Agriculture"
"Eggs, in shell","332196","0.0008733846531360932","0407","Agriculture"
"Egg yolks","2397","0.000006302011503953135","0408","Agriculture"
"Honey","8447","0.000022208214924443942","0409","Agriculture"
"Whalebone & horns","95551","0.00025121547818699456","0507","Agriculture"
"Coral and shells","194593","0.0005116092301162921","0508","Agriculture"
"Animal products used in pharmaceuticals","823884","0.0021660936361797764","0510","Agriculture"
"Animal products n.e.c.","422027","0.00110956153899826","0511","Agriculture"
"Other live plants","34527","0.00009077578272715472","0602","Agriculture"
"Cut flowers","6147","0.000016161228500125122","0603","Agriculture"
"Other parts of plants","2472","0.000006499195843876574","0604","Agriculture"
"Potatoes","8190","0.000021532529919639622","0701","Agriculture"
"Tomatoes","502954","0.0013223287000247161","0702","Agriculture"
"Onions, shallots, garlic","34133","0.00008973990766142358","0703","Agriculture"
"Cabbages, cauliflowers, broccoli","13259","0.000034859562173931836","0704","Agriculture"
"Carrots & turnips","3158","0.000008302775273042969","0706","Agriculture"
"Cucumbers","165196","0.00043432085623990073","0707","Agriculture"
"Legumes","2764","0.000007266900207311833","0708","Agriculture"
"Other vegetables","368292","0.0009682855322544463","0709","Agriculture"
"Frozen vegetables","4962","0.000013045715929334774","0710","Agriculture"
"Legumes, dried","208890","0.0005491978235547644","0713","Agriculture"
"Tubers","18463","0.00004854152624008624","0714","Agriculture"
"Cashew nuts & coconuts","1132717","0.002978054052867452","0801","Agriculture"
"Other nuts","4655","0.000012238574697914827","0802","Agriculture"
"Bananas and plantains","966387","0.002540751769407909","0803","Agriculture"
"Avocados, pineapples, mangos, etc.","1759715","0.004626509876378344","0804","Agriculture"
"Citrus fruit","582011","0.0015301793981757478","0805","Agriculture"
"Grapes","3158","0.000008302775273042969","0806","Agriculture"
"Melons and papayas","942334","0.002477513437032196","0807","Agriculture"
"Peaches & cherries","2110","0.0000055474527631794385","0809","Agriculture"
"Other fresh fruit","92946","0.0002443666087803204","0810","Agriculture"
"Coffee","483067","0.0012700433004506169","0901","Agriculture"
"Tea","29744","0.00007820068008910389","0902","Agriculture"
"Pepper","57916","0.00015226837641341248","0904","Agriculture"
"Spices","2600","0.000006835723784012579","0910","Agriculture"
"Corn","285112","0.00074959495365669","1005","Agriculture"
"Rice","226415","0.0005952732309835415","1006","Agriculture"
"Other cereals","1056791","0.002778435143627091","1008","Agriculture"
